Date,Open,High,Low,Close,Adj Close,Volume
2014-06-27,580.000000,585.000000,575.000000,580.000000,580.000000,21567800
2014-06-30,585.000000,590.000000,575.000000,585.000000,585.000000,21596000
2014-07-01,580.000000,585.000000,575.000000,580.000000,580.000000,20993000
2014-07-02,575.000000,585.000000,575.000000,575.000000,575.000000,21245000
2014-07-03,575.000000,585.000000,570.000000,575.000000,575.000000,20783600
2014-07-04,575.000000,580.000000,570.000000,575.000000,575.000000,20829400
2014-07-07,570.000000,580.000000,570.000000,570.000000,570.000000,28298100
2014-07-08,570.000000,580.000000,570.000000,570.000000,570.000000,20720000
2014-07-09,570.000000,570.000000,570.000000,570.000000,570.000000,0
2014-07-10,580.000000,585.000000,570.000000,580.000000,580.000000,24898400
2014-07-11,575.000000,580.000000,570.000000,575.000000,575.000000,21519900
2014-07-14,580.000000,580.000000,560.000000,580.000000,580.000000,19619400
2014-07-15,595.000000,600.000000,575.000000,595.000000,595.000000,24402100
2014-07-16,600.000000,605.000000,590.000000,600.000000,600.000000,18457800
2014-07-17,590.000000,600.000000,585.000000,590.000000,590.000000,18232600
2014-07-18,590.000000,595.000000,585.000000,590.000000,590.000000,18540800
2014-07-21,585.000000,595.000000,585.000000,585.000000,585.000000,20369200
2014-07-22,580.000000,590.000000,575.000000,580.000000,580.000000,16420400
2014-07-23,585.000000,590.000000,580.000000,585.000000,585.000000,20903000
2014-07-24,580.000000,585.000000,575.000000,580.000000,580.000000,18945600
2014-07-25,585.000000,585.000000,580.000000,585.000000,585.000000,19266800
2014-08-04,580.000000,590.000000,580.000000,580.000000,580.000000,21138100
2014-08-05,590.000000,600.000000,580.000000,590.000000,590.000000,21948800
